"Question","APICalls","Link","Stage","Industry","Keywords","Type","Topic","q.help.0","q.problem.1","q.interview.2","q.?.3","q.find.4","q.templat.5","q.what.6","q.question.7","q.should.8","q.ask.9","q.how.10","q.mani.11","q.enough.12","q.analyz.13","q.data.14","q.where.15","q.custom.16","q.need.17","q.good.18","q.statement.19","kw.problem interviews.0","kw.customer interviews.1","kw.problem interview questions.2","kw.problem validation.3","kw.data analysis.4","kw.feedback analysis.5","kw.finding customers.6","kw.help.7","kw.problem analysis.8","kw.problem statement.9","ind.b-2-b.0","ind.b-2-c.1","typ.checklist.0","typ.template.1","typ.article.2","typ.form / services.3","top.problem validation.0"
"Help me do problem interviews?","","https://docs.google.com/document/d/1j8kAUNJgW-h3Pvz5QJJJNjiQrAFMSU-hkKGyNLgC7s8/edit#heading=h.waxbr5uy1x6d","Level 0","B-2-B, B-2-C","Problem Interviews, Customer Interviews","Checklist","Problem Validation","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","1","0","0","0","1"
"Find me a problem interview template","","https://startups-ignite.com/wp-content/uploads/2018/02/problem-solution-fit-canvas-workbook-ideahackers-nl.pdf","Level 0","B-2-B, B-2-C","Problem Interviews, Customer Interviews","Template","Problem Validation","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1"
"What questions should I ask in my problem interviews?","","Need to create content","Level 0","B-2-B, B-2-C","Problem Interview Questions, Customer Interviews","Article","Problem Validation","0","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","1","0","0","1","0","1"
"How many problem interviews are enough?","","https://docs.google.com/document/d/1j8kAUNJgW-h3Pvz5QJJJNjiQrAFMSU-hkKGyNLgC7s8/edit#heading=h.8a6d3mr6jdmo","Level 0","B-2-B, B-2-C","Problem Interviews, Problem Validation","Article","Problem Validation","0","1","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","1","0","1"
"How to analyze problem interview data","","https://docs.google.com/document/d/1j8kAUNJgW-h3Pvz5QJJJNjiQrAFMSU-hkKGyNLgC7s8/edit#heading=h.iko7sue3lfdr","Level 0","B-2-B, B-2-C","Problem Interviews, Data Analysis, Feedback Analysis","Article","Problem Validation","0","1","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","0","1","0","1"
"How to analyze problem interview data","","https://startups-ignite.com/wp-content/uploads/2018/02/problem-solution-fit-canvas-workbook-ideahackers-nl.pdf","Level 0","B-2-B, B-2-C","Problem Interviews, Data Analysis, Feedback Analysis","Template","Problem Validation","0","1","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","1","0","1","0","0","1"
"Where to find customers to interview?","","Need to chop this up: Find customers to interview - look to the channels in your canvas to find customers to interview.","Level 0","B-2-B, B-2-C","Customer Interviews, Finding Customers","Article","Problem Validation","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","0","0","1","0","1"
"I need help in finding customers to interview","","Need a form for this","Level 0","B-2-B, B-2-C","Customer Interviews, Finding Customers, help","Form / Services","Problem Validation","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","1","1","0","0","1","1","0","0","0","1","1"
"What is a good problem statement?","","https://docs.google.com/document/d/1j8kAUNJgW-h3Pvz5QJJJNjiQrAFMSU-hkKGyNLgC7s8/edit#heading=h.waxbr5uy1x6d","Level 0","B-2-B, B-2-C","Customer Interviews, Problem Analysis, Problem Statement","Article","Problem Validation","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","1","1","0","0","1","0","1"
"What is a good problem statement?","","Need to find/create template?","Level 0","B-2-B, B-2-C","Customer Interviews, Problem Analysis, Problem Statement","Template","Problem Validation","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","1","1","0","1","0","0","1"
